name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite,Column 20
Compromised Armor,comp_armor,,,,"dmod, damage, damageStruct",,,TRUE,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"This ship's armor has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Armor rating reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_armor.png,
Compromised Hull,comp_hull,,,,"dmod, damage, damageStruct",,,TRUE,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"This ship's hull has taken major and irreparable damage at some point in the past, or suffered from major errors in the manufacturing process. Hull integrity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_hull.png,
Degraded Engines,degraded_engines,,,,"dmod, damage, civ",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's engines are suffering from permanently degraded performance. 

Top speed and maneuverability in combat reduced by %s. Maximum burn level decreased by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/degraded_engines.png,
Faulty Power Grid,faulty_grid,,,,"dmod, damage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's power grid will never be capable of achieving peak performance.

Flux capacity reduced by %s. Flux dissipation rate reduced by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/faulty_power_grid.png,
Phase Coil Instability,unstable_coils,,,,"dmod, phaseDamage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"The phase coils on this ship are impossible to calibrate properly due to subtle flaws. Reduces the phase-time bonus by %s, reduces the peak performance time by %s, and increases the rate at which combat readiness degrades by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/phase_coil_instability.png,
Structural Damage,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,TRUE,TRUE,,0,0,0,0,data.hullmods.CompromisedStructure,"This ship's hull has likely taken extreme damage in the past, possibly to the point of breaking apart. Armor rating reduced by %s, hull integrity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/structural_damage.png,
Glitched Sensor Array,glitched_sensors,,,,"dmod, damage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.GlitchedSensorArray,"The ship's sensor array is damaged past any repair short of a complete hull overhaul. Weapon range in combat reduced by %s. Sensor strength reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/glitched_sensor_array.png,
Malfunctioning Comms,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.MalfunctioningComms,"The comm system has suffered serious damage, making punching through battlefield jamming even more of a challenge. Fighter engagement range reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/malfunctioning_comms.png,
Defective Manufactory,defective_manufactory,,,,"dmod, fighterBayDamage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DefectiveManufactory,"The manufactory that produces fighter chassis is unreliable, and most components have minor defects. Fighter speed reduced by %s, and damage taken increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/defective_manufactory.png,
Damaged Flight Deck,damaged_deck,,,,"dmod, fighterBayDamage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DamagedFlightDeck,"The flight decks on this ship have taken major damage and seriously interfere with normal operation. Time to launch replacement fighters is increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/damaged_flight_deck.png,
Unreliable Subsystems,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,TRUE,TRUE,,0,0,0,0,data.hullmods.FragileSubsystems,"A widespread loss of redundant components reduces peak operating time by %s, and increases the rate at which combat readiness degrades by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/fragile_subsystems.png,
Compromised Storage,comp_storage,,,,"dmod, damage, civOnly",,,TRUE,TRUE,,0,0,0,0,data.hullmods.CompromisedStorage,"The storage capacity of this ship is significantly degraded. Crew, cargo, and fuel capacity reduced by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/compromised_storage.png,
Increased Maintenance,increased_maintenance,,,,"dmod, damage, civ",,,TRUE,TRUE,,0,0,0,0,data.hullmods.IncreasedMaintenance,"Increases the monthly maintenance supply cost by %s. Increases minimum crew required by %s.

Supply cost to recover from deployment reduced by %s.",Increases maintenance cost and crew requirements.,graphics/hullmods/increased_maintenance.png,
Erratic Fuel Injector,erratic_injector,,,,"dmod, damage, civ",,,TRUE,TRUE,,0,0,0,0,data.hullmods.ErraticInjector,"Increases fuel use by %s.

Supply cost to recover from deployment reduced by %s.",Increases fuel use.,graphics/hullmods/erratic_injector.png,
Faulty Automated Systems,faulty_auto,,,,"dmod, damage, notAuto",,,TRUE,TRUE,,0,0,0,0,data.hullmods.FaultyAutomatedSystems,"Increases minimum crew required by %s.

Supply cost to recover from deployment reduced by %s.",Increases minimum crew required.,graphics/hullmods/faulty_automated_systems.png,
Damaged Weapon Mounts,damaged_mounts,,,,"dmod, damage",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DamagedWeaponMounts,"Reduces weapon turn rate by %s and increases recoil by %s.

Supply cost to recover from deployment reduced by %s.",Reduces weapon turn rate and increases recoil.,graphics/hullmods/increased_maintenance.png,
Degraded Life Support,degraded_life_support,,,,"dmod, damage, notAuto",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DegradedLifeSupport,"Reduces maximum crew capacity by %s.

Supply cost to recover from deployment reduced by %s.",Reduces maximum crew capacity.,graphics/hullmods/degraded_life_support.png,
Degraded Shields,degraded_shields,,,,"dmod, damage, reqShields",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DegradedShields,"Increases the amount of damage taken by shields by %s.

Supply cost to recover from deployment reduced by %s.",Increases damage taken by shields.,graphics/hullmods/degraded_shields.png,
Degraded Drive Field,degraded_drive_field,,,,"dmod, damage, civOnly",,,TRUE,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"Whether due to battle damage, manufacturing defects, or cycles of poor maintenance, this ship's drive field is suffering from permanently degraded performance. 

Maximum burn level decreased by %s. Sensor profile increased by %s.

Supply cost to recover from deployment reduced by %s.",,graphics/hullmods/degraded_drivefield.png,
,,,,,,,,,,,,,,,,,,,
#MISC,,,,,,,,,,,,,,,,,,,
REMOVED B-MOD,IncompatibleHullmodWarning,,,,,,,TRUE,TRUE,,0,0,0,0,data.hullmods.IncompatibleHullmodWarning,This vandal mod cannot be installed on this ship or has conflicted with another newly gained hullmod.,,graphics/icons/intel/investigation.png,
